"District","FIPS","Year","Special Education Status","Variable","Measure Type","Value"
"Suffield School District","900374540","2013-2014","Non-Special Education","Total Cohort Count","Number",188
"Unified School District #1","","2016-2017","Non-Special Education","Other Count","Number",188
"Wolcott School District","900987560","2012-2013","Non-Special Education","Four Year Graduation Count","Number",188
"Ansonia School District","900901220","2012-2013","Non-Special Education","Total Cohort Count","Number",187
"Hartford School District","900337070","2011-2012","Non-Special Education","Other Count","Number",187
"Ledyard School District","901142600","2012-2013","Non-Special Education","Four Year Graduation Count","Number",187
"Regional School District 14","","2013-2014","Non-Special Education","Total Cohort Count","Number",187
"Rocky Hill School District","900365370","2011-2012","Non-Special Education","Total Cohort Count","Number",187
"Suffield School District","900374540","2012-2013","Non-Special Education","Four Year Graduation Count","Number",187
"Weston School District","900183430","2016-2017","Non-Special Education","Total Cohort Count","Number",187
"Bethel School District","900104720","2014-2015","Non-Special Education","Total Cohort Count","Number",186
"Regional School District 07","","2013-2014","Non-Special Education","Total Cohort Count","Number",186
"Regional School District 10","","2013-2014","Non-Special Education","Total Cohort Count","Number",186
"Torrington School District","900576570","2016-2017","Non-Special Education","Total Cohort Count","Number",186
"Weston School District","900183430","2012-2013","Non-Special Education","Total Cohort Count","Number",186
"Weston School District","900183430","2012-2013","Non-Special Education","Four Year Graduation Count","Number",186
"Brookfield School District","900108980","2015-2016","Non-Special Education","Total Cohort Count","Number",185
"Killingly School District","901540500","2013-2014","Non-Special Education","Total Cohort Count","Number",185
"Ledyard School District","901142600","2011-2012","Non-Special Education","Total Cohort Count","Number",185
"Montville School District","901148900","2011-2012","Non-Special Education","Total Cohort Count","Number",185
"Plainville School District","900360120","2010-2011","Non-Special Education","Four Year Graduation Count","Number",185
