"District","FIPS","Year","Special Education Status","Variable","Measure Type","Value"
"Department of Mental Health and Addiction Services","","2016-2017","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Department of Mental Health and Addiction Services","","2016-2017","Special Education","Other Count","Number",-9999
"Department of Mental Health and Addiction Services","","2016-2017","Special Education","Other Rate","Percent",-9999
"Derby School District","900919550","2010-2011","Non-Special Education","Still Enrolled After Four Years Count","Number",-9999
"Derby School District","900919550","2010-2011","Special Education","Still Enrolled After Four Years Count","Number",-9999
"Derby School District","900919550","2010-2011","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Derby School District","900919550","2010-2011","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Derby School District","900919550","2010-2011","Non-Special Education","Other Count","Number",-9999
"Derby School District","900919550","2010-2011","Special Education","Other Count","Number",-9999
"Derby School District","900919550","2010-2011","Non-Special Education","Other Rate","Percent",-9999
"Derby School District","900919550","2010-2011","Special Education","Other Rate","Percent",-9999
"Derby School District","900919550","2011-2012","Non-Special Education","Four Year Graduation Count","Number",-9999
"Derby School District","900919550","2011-2012","Special Education","Four Year Graduation Count","Number",-9999
"Derby School District","900919550","2011-2012","Non-Special Education","Four Year Graduation Rate","Percent",-9999
"Derby School District","900919550","2011-2012","Special Education","Four Year Graduation Rate","Percent",-9999
"Derby School District","900919550","2011-2012","Non-Special Education","Still Enrolled After Four Years Count","Number",-9999
"Derby School District","900919550","2011-2012","Special Education","Still Enrolled After Four Years Count","Number",-9999
"Derby School District","900919550","2011-2012","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Derby School District","900919550","2011-2012","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Derby School District","900919550","2011-2012","Non-Special Education","Other Count","Number",-9999
"Derby School District","900919550","2011-2012","Special Education","Other Count","Number",-9999
"Derby School District","900919550","2011-2012","Non-Special Education","Other Rate","Percent",-9999
"Derby School District","900919550","2011-2012","Special Education","Other Rate","Percent",-9999
"Derby School District","900919550","2012-2013","Non-Special Education","Four Year Graduation Count","Number",-9999
"Derby School District","900919550","2012-2013","Special Education","Four Year Graduation Count","Number",-9999
"Derby School District","900919550","2012-2013","Non-Special Education","Four Year Graduation Rate","Percent",-9999
"Derby School District","900919550","2012-2013","Special Education","Four Year Graduation Rate","Percent",-9999
"Derby School District","900919550","2012-2013","Non-Special Education","Other Count","Number",-9999
"Derby School District","900919550","2012-2013","Special Education","Other Count","Number",-9999
"Derby School District","900919550","2012-2013","Non-Special Education","Other Rate","Percent",-9999
"Derby School District","900919550","2012-2013","Special Education","Other Rate","Percent",-9999
"Derby School District","900919550","2013-2014","Non-Special Education","Still Enrolled After Four Years Count","Number",-9999
"Derby School District","900919550","2013-2014","Special Education","Still Enrolled After Four Years Count","Number",-9999
"Derby School District","900919550","2013-2014","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Derby School District","900919550","2013-2014","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Derby School District","900919550","2013-2014","Non-Special Education","Other Count","Number",-9999
"Derby School District","900919550","2013-2014","Special Education","Other Count","Number",-9999
"Derby School District","900919550","2013-2014","Non-Special Education","Other Rate","Percent",-9999
"Derby School District","900919550","2013-2014","Special Education","Other Rate","Percent",-9999
"Derby School District","900919550","2014-2015","Non-Special Education","Still Enrolled After Four Years Count","Number",-9999
"Derby School District","900919550","2014-2015","Special Education","Still Enrolled After Four Years Count","Number",-9999
"Derby School District","900919550","2014-2015","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Derby School District","900919550","2014-2015","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Derby School District","900919550","2014-2015","Non-Special Education","Other Count","Number",-9999
"Derby School District","900919550","2014-2015","Special Education","Other Count","Number",-9999
"Derby School District","900919550","2014-2015","Non-Special Education","Other Rate","Percent",-9999
"Derby School District","900919550","2014-2015","Special Education","Other Rate","Percent",-9999
"Derby School District","900919550","2015-2016","Non-Special Education","Still Enrolled After Four Years Count","Number",-9999
"Derby School District","900919550","2015-2016","Special Education","Still Enrolled After Four Years Count","Number",-9999
"Derby School District","900919550","2015-2016","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Derby School District","900919550","2015-2016","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Derby School District","900919550","2015-2016","Non-Special Education","Other Count","Number",-9999
"Derby School District","900919550","2015-2016","Special Education","Other Count","Number",-9999
"Derby School District","900919550","2015-2016","Non-Special Education","Other Rate","Percent",-9999
"Derby School District","900919550","2015-2016","Special Education","Other Rate","Percent",-9999
"Derby School District","900919550","2016-2017","Non-Special Education","Four Year Graduation Count","Number",-9999
"Derby School District","900919550","2016-2017","Special Education","Four Year Graduation Count","Number",-9999
"Derby School District","900919550","2016-2017","Non-Special Education","Four Year Graduation Rate","Percent",-9999
"Derby School District","900919550","2016-2017","Special Education","Four Year Graduation Rate","Percent",-9999
"Derby School District","900919550","2016-2017","Non-Special Education","Still Enrolled After Four Years Count","Number",-9999
"Derby School District","900919550","2016-2017","Special Education","Still Enrolled After Four Years Count","Number",-9999
"Derby School District","900919550","2016-2017","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Derby School District","900919550","2016-2017","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
